variant,window,ann_return_pctpts,ann_std_pctpts,sharpe,worst_drawdown_pctpts,n_days
baseline,full,15.72,32.87,0.478,-179.36,13422
baseline,1980s,16.13,37.12,0.435,-121.39,2609
baseline,1990s,23.91,31.82,0.752,-89.62,2610
baseline,2000s,13.01,28.1,0.463,-67.8,2609
baseline,2010s,10.48,21.91,0.479,-47.52,2608
baseline,2020s,9.37,24.19,0.387,-44.52,1107
fw_handcraft,full,14.11,27.72,0.509,-98.57,13422
fw_handcraft,1980s,20.83,33.27,0.626,-67.55,2609
fw_handcraft,1990s,19.3,28.57,0.676,-48.15,2610
fw_handcraft,2000s,8.68,24.1,0.36,-62.83,2609
fw_handcraft,2010s,4.09,18.99,0.215,-60.64,2608
fw_handcraft,2020s,8.64,20.61,0.419,-42.25,1107
fw_shrinkage,full,12.17,27.88,0.437,-108.68,13422
fw_shrinkage,1980s,17.36,32.3,0.537,-71.3,2609
fw_shrinkage,1990s,15.51,28.77,0.539,-84.32,2610
fw_shrinkage,2000s,10.29,23.87,0.431,-64.37,2609
fw_shrinkage,2010s,2.38,19.1,0.125,-70.5,2608
fw_shrinkage,2020s,5.66,20.95,0.27,-47.35,1107
fw_hrp,full,12.02,27.39,0.439,-91.17,13422
fw_hrp,1980s,25.93,34.3,0.756,-67.73,2609
fw_hrp,1990s,15.21,27.71,0.549,-74.07,2610
fw_hrp,2000s,7.34,23.36,0.314,-60.35,2609
fw_hrp,2010s,0.04,18.86,0.002,-69.82,2608
fw_hrp,2020s,8.55,21.59,0.396,-44.74,1107
fw_equal,full,13.99,27.68,0.506,-92.4,13422
fw_equal,1980s,27.72,34.24,0.81,-70.4,2609
fw_equal,1990s,17.77,28.11,0.632,-50.34,2610
fw_equal,2000s,8.45,23.36,0.362,-55.67,2609
fw_equal,2010s,1.16,19.14,0.061,-62.96,2608
fw_equal,2020s,10.35,21.39,0.484,-43.63,1107
