,baseline,fw_handcraft,fw_shrinkage,fw_hrp,fw_equal
1973-02-09,1.248406975270037,-0.075,-0.075,-0.075,-0.075
1973-02-12,3.315,-0.195,-0.195,-0.195,-0.195
1973-02-13,1.275,-0.09266991069050415,-0.09266991069050415,-0.09266991069050415,-0.09266991069050415
1973-02-14,-2.684214890105994,-0.4337191208479885,-0.4337191208479885,-0.4337191208479885,-0.4337191208479885
1973-02-15,0.6551999999999952,0.20159999999999856,0.20159999999999856,0.20159999999999856,0.20159999999999856
1973-02-16,1.2983989468800403,0.4,0.4,0.4,0.4
1973-02-19,-0.003183650516853773,0.0,0.0,0.0,0.0
1973-02-20,1.1,0.32,0.32,0.32,0.32
1973-02-21,5.496726367073729,1.5934527341474596,1.5934527341474596,1.5934527341474596,1.5934527341474596
1973-02-22,2.28,0.7819984827176613,0.7819984827176613,0.7819984827176613,0.7819984827176613
1973-02-23,-3.1366464647048007,-1.7181717176384088,-1.7181717176384088,-1.7181717176384088,-1.7181717176384088
1973-02-26,-1.16,-0.78,-0.78,-0.78,-0.78
1973-02-27,-0.8732655268310849,-0.5882655268310849,-0.5882655268310849,-0.5882655268310849,-0.5882655268310849
1973-02-28,1.7967422230945584,1.103484446189117,1.103484446189117,1.103484446189117,1.103484446189117
1973-03-01,6.196650547823446,3.3,3.3,3.3,3.3
1973-03-02,-2.56,-1.3233513840262525,-1.3233513840262525,-1.3233513840262525,-1.3233513840262525
1973-03-05,3.0336000000000056,1.6590000000000034,1.6590000000000034,1.6590000000000034,1.6590000000000034
1973-03-06,0.1663999999999942,0.08599108970172764,0.08599108970172764,0.08599108970172764,0.08599108970172764
1973-03-07,0.6350155002656925,0.37667700017712835,0.37667700017712835,0.37667700017712835,0.37667700017712835
1973-03-08,-4.025020753208715,-2.4033471688058103,-2.4033471688058103,-2.4033471688058103,-2.4033471688058103
1973-03-09,1.05,0.6283338073670768,0.6283338073670768,0.6283338073670768,0.6283338073670768
1973-03-12,-3.5,-2.05,-2.05,-2.05,-2.05
1973-03-13,-0.7,-0.4249792714665497,-0.4249792714665497,-0.4249792714665497,-0.4249792714665497
1973-03-14,1.75,0.7950223968754736,0.7950223968754736,0.7950223968754736,0.7950223968754736
1973-03-15,1.3966939807911036,0.58,0.58,0.58,0.58
1973-03-16,0.3567094997638519,0.145,0.145,0.145,0.145
1973-03-19,-2.593288484155824,-1.015,-1.015,-1.015,-1.015
1973-03-20,1.14,0.435,0.435,0.435,0.435
1973-03-21,0.37836993329519414,0.145,0.145,0.145,0.145
1973-03-22,4.615082051733099,1.74,1.74,1.74,1.74
1973-03-23,-2.8,-1.021554075120964,-1.021554075120964,-1.021554075120964,-1.021554075120964
1973-03-26,-1.2,-0.495,-0.495,-0.495,-0.495
1973-03-27,-2.8,-1.155,-1.155,-1.155,-1.155
1973-03-28,3.3920000000000075,1.395935115853855,1.395935115853855,1.395935115853855,1.395935115853855
1973-03-29,0.20799999999999272,0.08059999999999717,0.08059999999999717,0.08059999999999717,0.08059999999999717
1973-03-30,0.796762715978117,0.31,0.31,0.31,0.31
1973-04-02,9.016669484182762,3.41,3.41,3.41,3.41
1973-04-03,-3.36,-1.2533301935903935,-1.2533301935903935,-1.2533301935903935,-1.2533301935903935
1973-04-04,2.52,1.17,1.17,1.17,1.17
1973-04-05,-2.3183999999999925,-1.081379110258063,-1.081379110258063,-1.081379110258063,-1.081379110258063
1973-04-06,-1.26,-0.63,-0.63,-0.63,-0.63
1973-04-09,5.88,2.94,2.94,2.94,2.94
1973-04-10,-2.3016000000000076,-1.1508000000000038,-1.1508000000000038,-1.1508000000000038,-1.1508000000000038
1973-04-11,-1.0583999999999922,-0.5291999999999961,-0.5291999999999961,-0.5291999999999961,-0.5291999999999961
1973-04-12,2.52,1.26,1.26,1.26,1.26
1973-04-13,0.21839999999999238,0.10919999999999619,0.10919999999999619,0.10919999999999619,0.10919999999999619
1973-04-16,2.94,1.47,1.47,1.47,1.47
1973-04-17,-1.26,-0.6398485356475582,-0.6398485356475582,-0.6398485356475582,-0.6398485356475582
1973-04-18,5.03670266637099,2.88,2.88,2.88,2.88
1973-04-19,1.29,0.7101425993581045,0.7101425993581045,0.7101425993581045,0.7101425993581045
1973-04-20,-0.0032733149630514314,-0.00981994488915429,-0.00981994488915429,-0.00981994488915429,-0.00981994488915429
1973-04-23,4.4,3.0,3.0,3.0,3.0
