,baseline,handcraft,shrinkage,hrp,equal
1972-10-18,0.0,0.0,0.0,0.0,0.0
1972-10-19,0.0,0.0,0.0,0.0,0.0
1972-10-20,0.0,0.0,0.0,0.0,0.0
1972-10-23,0.0,0.0,0.0,0.0,0.0
1972-10-24,0.0,0.0,0.0,0.0,0.0
1972-10-25,0.0,0.0,0.0,0.0,0.0
1972-10-26,0.0,0.0,0.0,0.0,0.0
1972-10-27,0.0,0.0,0.0,0.0,0.0
1972-10-30,0.0,0.0,0.0,0.0,0.0
1972-10-31,0.0,0.0,0.0,0.0,0.0
1972-11-01,0.0,0.0,0.0,0.0,0.0
1972-11-02,-0.02558226285962277,-0.01046547116984568,-0.01046547116984568,-0.01046547116984568,-0.01046547116984568
1972-11-03,-0.06163902482721193,-0.025619512413606146,-0.025619512413606146,-0.025619512413606146,-0.025619512413606146
1972-11-06,-0.7179647301639316,-0.30362589206557267,-0.30362589206557267,-0.30362589206557267,-0.30362589206557267
1972-11-07,-0.0032080872382487476,-0.0010693624127495827,-0.0010693624127495827,-0.0010693624127495827,-0.0010693624127495827
1972-11-08,0.6778890013557479,0.27894450067787396,0.27894450067787396,0.27894450067787396,0.27894450067787396
1972-11-09,-0.18102124602210704,-0.07602124602210703,-0.07602124602210703,-0.07602124602210703,-0.07602124602210703
1972-11-10,-0.3769583581947601,-0.16397620468272006,-0.16397620468272006,-0.16397620468272006,-0.16397620468272006
1972-11-13,2.2968174020884455,1.0447065257831674,1.0447065257831674,1.0447065257831674,1.0447065257831674
1972-11-14,-0.39765233009241824,-0.17555513753850774,-0.17555513753850774,-0.17555513753850774,-0.17555513753850774
1972-11-15,1.2,0.54,0.54,0.54,0.54
1972-11-16,-1.4033159895894558,-0.632210659726304,-0.632210659726304,-0.632210659726304,-0.632210659726304
1972-11-17,0.215,0.1,0.1,0.1,0.1
1972-11-20,-1.5083059496849383,-0.7011019832283127,-0.7011019832283127,-0.7011019832283127,-0.7011019832283127
1972-11-21,0.8004000000000042,0.36540000000000195,0.36540000000000195,0.36540000000000195,0.36540000000000195
1972-11-22,-0.23213242787259566,-0.10713242787259565,-0.10713242787259565,-0.10713242787259565,-0.10713242787259565
1972-11-23,-0.0062680801819234725,-0.0031340400909617362,-0.0031340400909617362,-0.0031340400909617362,-0.0031340400909617362
1972-11-24,1.4893524062805352,0.7165524062805377,0.7165524062805377,0.7165524062805377,0.7165524062805377
1972-11-27,1.6478947177844592,0.81,0.81,0.81,0.81
1972-11-28,-1.425,-0.675,-0.675,-0.675,-0.675
1972-11-29,-2.428199999999995,-1.1501999999999974,-1.1501999999999974,-1.1501999999999974,-1.1501999999999974
1972-11-30,3.283199999999995,1.5551999999999975,1.5551999999999975,1.5551999999999975,1.5551999999999975
1972-12-01,3.122952771531426,1.4801811086125707,1.4801811086125707,1.4801811086125707,1.4801811086125707
1972-12-04,5.405,2.645,2.645,2.645,2.645
1972-12-05,0.45724880001217866,0.22433280000541275,0.22433280000541275,0.22433280000541275,0.22433280000541275
1972-12-06,-2.28,-1.14,-1.14,-1.14,-1.14
1972-12-07,0.9485398123850791,0.4735398123850792,0.4735398123850792,0.4735398123850792,0.4735398123850792
1972-12-08,1.85,0.8985280882638015,0.8985280882638015,0.8985280882638015,0.8985280882638015
1972-12-11,-1.8560109842859203,-0.95300549214296,-0.95300549214296,-0.95300549214296,-0.95300549214296
1972-12-12,0.82,0.42,0.42,0.42,0.42
1972-12-13,-2.0560518091143387,-1.0515129522785849,-1.0515129522785849,-1.0515129522785849,-1.0515129522785849
1972-12-14,-0.45,-0.22,-0.22,-0.22,-0.22
1972-12-15,-1.132452227232131,-0.5544713363392787,-0.5544713363392787,-0.5544713363392787,-0.5544713363392787
1972-12-18,-6.008355616723744,-3.0050133700342467,-3.0050133700342467,-3.0050133700342467,-3.0050133700342467
1972-12-19,1.078469356190568,0.5484065764103059,0.5484065764103059,0.5484065764103059,0.5484065764103059
1972-12-20,3.250800000000004,1.625400000000002,1.625400000000002,1.625400000000002,1.625400000000002
1972-12-21,0.9424345326916755,0.47121726634583777,0.47121726634583777,0.47121726634583777,0.47121726634583777
1972-12-22,-1.9,-0.95,-0.95,-0.95,-0.95
1972-12-25,0.0,0.0,0.0,0.0,0.0
1972-12-26,0.38,0.19,0.19,0.19,0.19
1972-12-27,-0.09879999999999654,-0.04939999999999827,-0.04939999999999827,-0.04939999999999827,-0.04939999999999827
1972-12-28,-0.009813445443502437,-0.006542296962334959,-0.006542296962334959,-0.006542296962334959,-0.006542296962334959
1972-12-29,1.9783612052840605,1.035,1.035,1.035,1.035
1973-01-01,0.0,0.0,0.0,0.0,0.0
1973-01-02,-2.0266305967043343,-1.035,-1.035,-1.035,-1.035
1973-01-03,0.3495999999999958,0.1747999999999979,0.1747999999999979,0.1747999999999979,0.1747999999999979
1973-01-04,-2.3146457172067425,-1.1581365095593015,-1.1581365095593015,-1.1581365095593015,-1.1581365095593015
1973-01-05,-1.65,-0.84,-0.84,-0.84,-0.84
1973-01-08,-2.7532629881666515,-1.4016314940833257,-1.4016314940833257,-1.4016314940833257,-1.4016314940833257
1973-01-09,2.2783675899594105,1.16,1.16,1.16,1.16
1973-01-10,1.7318673267335973,0.8667469306934389,0.8667469306934389,0.8667469306934389,0.8667469306934389
1973-01-11,-5.565,-2.835,-2.835,-2.835,-2.835
1973-01-12,-0.8136760741640685,-0.4151869495440374,-0.4151869495440374,-0.4151869495440374,-0.4151869495440374
1973-01-15,0.0,0.0,0.0,0.0,0.0
1973-01-16,1.9908000000000037,0.9954000000000018,0.9954000000000018,0.9954000000000018,0.9954000000000018
1973-01-17,-1.3608000000000038,-0.6804000000000019,-0.6804000000000019,-0.6804000000000019,-0.6804000000000019
1973-01-18,-0.42,-0.21167267980454782,-0.21167267980454782,-0.21167267980454782,-0.21167267980454782
1973-01-19,0.6250139870654561,0.3283379956884854,0.3283379956884854,0.3283379956884854,0.3283379956884854
1973-01-22,0.6733484780326422,0.3433484780326421,0.3433484780326421,0.3433484780326421,0.3433484780326421
1973-01-23,1.8366957375020208,0.9583478687510103,0.9583478687510103,0.9583478687510103,0.9583478687510103
1973-01-24,0.72,0.375,0.375,0.375,0.375
1973-01-25,-0.004890222672963555,-0.0016300742243211853,-0.0016300742243211853,-0.0016300742243211853,-0.0016300742243211853
1973-01-26,-3.315,-1.6916504308106237,-1.6916504308106237,-1.6916504308106237,-1.6916504308106237
1973-01-29,-0.765,-0.405,-0.405,-0.405,-0.405
1973-01-30,-0.51,-0.27,-0.27,-0.27,-0.27
