DATETIME,price
2024-12-31,242.13
2024-12-30,240.63
2024-12-27,241.4
2024-12-26,243.07
2024-12-24,241.44
2024-12-23,240.96
2024-12-20,242.1
2024-12-19,239.6
2024-12-18,239.26
2024-12-17,243.94
2024-12-16,244.88
2024-12-13,244.29
2024-12-12,247.28
2024-12-11,250.96
2024-12-10,248.59
2024-12-09,245.36
2024-12-06,242.95
2024-12-05,242.86
2024-12-04,244.67
2024-12-03,243.93
2024-12-02,243.44
2024-11-29,245.59
2024-11-27,243.49
2024-11-26,242.95
2024-11-25,242.48
2024-11-22,249.84
2024-11-21,246.66
2024-11-20,244.62
2024-11-19,243.25
2024-11-18,241.09
2024-11-15,236.59
2024-11-14,237.01
2024-11-13,237.63
2024-11-12,240.05
2024-11-11,242.14
2024-11-08,247.96
2024-11-07,249.65
2024-11-06,245.7
2024-11-05,253.4
2024-11-04,252.83
2024-11-01,252.47
2024-10-31,253.51
2024-10-30,257.5
2024-10-29,256.09
2024-10-28,253.33
2024-10-25,253.32
2024-10-24,252.8
2024-10-23,250.87
2024-10-22,253.93
2024-10-21,251.22
2024-10-18,251.27
2024-10-17,248.63
2024-10-16,247.15
2024-10-15,245.92
2024-10-14,245.07
2024-10-11,245.47
2024-10-10,242.82
2024-10-09,241.05
2024-10-08,242.37
2024-10-07,244.17
2024-10-04,245.0
2024-10-03,245.49
2024-10-02,245.66
2024-10-01,245.61
2024-09-30,243.06
2024-09-27,245.02
2024-09-26,246.98
2024-09-25,245.73
2024-09-24,246.07
2024-09-23,242.68
2024-09-20,242.21
2024-09-19,239.17
2024-09-18,235.51
2024-09-17,237.34
2024-09-16,238.66
2024-09-13,238.68
2024-09-12,236.33
2024-09-11,232.25
2024-09-10,232.62
2024-09-09,231.6
2024-09-06,230.63
2024-09-05,232.35
2024-09-04,230.43
2024-09-03,230.29
2024-08-30,231.29
2024-08-29,232.95
2024-08-28,231.75
2024-08-27,233.39
2024-08-26,232.76
2024-08-23,232.02
2024-08-22,229.37
2024-08-21,232.15
2024-08-20,232.46
2024-08-19,231.61
2024-08-16,231.99
2024-08-15,226.91
2024-08-14,226.2
2024-08-13,228.06
2024-08-12,228.41
2024-08-09,224.56
2024-08-08,224.01
2024-08-07,220.55
2024-08-06,220.7
2024-08-05,222.48
2024-08-02,225.34
2024-08-01,225.77
2024-07-31,226.55
2024-07-30,222.52
2024-07-29,220.32
2024-07-26,220.63
2024-07-25,218.33
2024-07-24,221.8
2024-07-23,222.58
2024-07-22,221.8
2024-07-19,221.73
2024-07-18,225.78
2024-07-17,227.23
2024-07-16,228.29
2024-07-15,223.83
2024-07-12,223.11
2024-07-11,223.25
2024-07-10,219.36
2024-07-09,218.56
2024-07-08,218.19
2024-07-05,220.93
2024-07-03,217.99
2024-07-02,215.56
2024-07-01,215.57
2024-06-28,215.01
2024-06-27,214.99
2024-06-26,212.58
2024-06-25,214.56
2024-06-24,215.63
2024-06-21,214.78
2024-06-20,218.16
2024-06-18,215.47
2024-06-17,214.61
2024-06-14,215.73
2024-06-13,212.97
2024-06-12,214.72
2024-06-11,214.15
2024-06-10,213.54
2024-06-07,211.6
2024-06-06,219.43
2024-06-05,217.82
2024-06-04,215.27
2024-06-03,217.22
2024-05-31,215.3
2024-05-30,216.57
2024-05-29,216.16
2024-05-28,218.19
2024-05-24,215.92
2024-05-23,215.72
2024-05-22,220.11
2024-05-21,224.23
2024-05-20,224.56
2024-05-17,223.66
2024-05-16,220.03
2024-05-15,220.89
2024-05-14,218.09
2024-05-13,216.26
2024-05-10,218.71
2024-05-09,216.95
2024-05-08,213.58
2024-05-07,214.21
2024-05-06,215.2
2024-05-03,212.96
2024-05-02,213.13
2024-05-01,213.79
2024-04-30,211.87
2024-04-29,216.18
2024-04-26,216.62
2024-04-25,215.92
2024-04-24,214.64
2024-04-23,215.04
2024-04-22,215.57
2024-04-19,221.03
2024-04-18,220.34
2024-04-17,219.59
2024-04-16,221.22
2024-04-15,220.95
2024-04-12,216.89
2024-04-11,219.8
2024-04-10,215.61
2024-04-09,217.67
2024-04-08,216.48
2024-04-05,215.14
2024-04-04,211.52
2024-04-03,212.74
2024-04-02,210.89
2024-04-01,207.82
2024-03-28,205.72
2024-03-27,203.1
2024-03-26,201.64
2024-03-25,200.99
2024-03-22,200.35
2024-03-21,201.97
2024-03-20,202.18
2024-03-19,199.8
2024-03-18,200.03
2024-03-15,199.71
2024-03-14,200.35
2024-03-13,201.19
2024-03-12,199.79
2024-03-11,202.0
2024-03-08,201.63
2024-03-07,199.94
2024-03-06,198.81
2024-03-05,197.19
2024-03-04,196.01
2024-03-01,192.89
2024-02-29,189.31
2024-02-28,188.34
2024-02-27,188.0
2024-02-26,188.2
2024-02-23,188.62
2024-02-22,187.56
2024-02-21,187.48
2024-02-20,187.47
2024-02-16,186.34
2024-02-15,185.66
2024-02-14,184.42
2024-02-13,184.53
2024-02-12,187.11
2024-02-09,187.6
2024-02-08,188.33
2024-02-07,188.5
2024-02-06,188.55
2024-02-05,187.57
2024-02-02,188.61
2024-02-01,190.41
2024-01-31,188.45
2024-01-30,188.59
2024-01-29,188.33
2024-01-26,187.01
2024-01-25,187.14
2024-01-24,186.4
2024-01-23,187.95
2024-01-22,187.22
2024-01-19,187.93
2024-01-18,187.37
2024-01-17,185.84
2024-01-16,187.91
2024-01-12,189.71
2024-01-11,187.87
2024-01-10,187.5
2024-01-09,187.93
2024-01-08,187.87
2024-01-05,189.35
2024-01-04,189.32
2024-01-03,189.13
2024-01-02,190.72
