DATETIME,price
2024-12-31,87.33
2024-12-30,87.8
2024-12-27,87.1
2024-12-26,87.82
2024-12-24,87.87
2024-12-23,87.5
2024-12-20,88.31
2024-12-19,87.81
2024-12-18,89.16
2024-12-17,90.64
2024-12-16,90.42
2024-12-13,90.15
2024-12-12,91.08
2024-12-11,92.2
2024-12-10,93.08
2024-12-09,93.52
2024-12-06,94.39
2024-12-05,94.25
2024-12-04,94.06
2024-12-03,93.06
2024-12-02,93.87
2024-11-29,93.97
2024-11-27,93.01
2024-11-26,92.37
2024-11-25,92.73
2024-11-22,90.39
2024-11-21,90.34
2024-11-20,90.41
2024-11-19,90.7
2024-11-18,90.24
2024-11-15,90.08
2024-11-14,90.32
2024-11-13,89.8
2024-11-12,90.66
2024-11-11,92.04
2024-11-08,92.49
2024-11-07,91.33
2024-11-06,90.2
2024-11-05,92.74
2024-11-04,92.25
2024-11-01,90.84
2024-10-31,92.45
2024-10-30,92.3
2024-10-29,92.03
2024-10-28,91.89
2024-10-25,92.14
2024-10-24,92.66
2024-10-23,92.07
2024-10-22,92.32
2024-10-21,92.23
2024-10-18,93.87
2024-10-17,93.8
2024-10-16,95.31
2024-10-15,94.91
2024-10-14,93.765
2024-10-11,93.7
2024-10-10,94.08
2024-10-09,94.45
2024-10-08,94.99
2024-10-07,94.83
2024-10-04,95.55
2024-10-03,96.74
2024-10-02,97.66
2024-10-01,98.49
2024-09-30,98.1
2024-09-27,98.57
2024-09-26,98.06
2024-09-25,97.83
2024-09-24,98.65
2024-09-23,98.67
2024-09-20,98.88
2024-09-19,99.26
2024-09-18,99.59
2024-09-17,100.84
2024-09-16,101.33
2024-09-13,100.41
2024-09-12,100.14
2024-09-11,100.61
2024-09-10,100.69
2024-09-09,99.99
2024-09-06,99.56
2024-09-05,99.57
2024-09-04,99.01
2024-09-03,97.75
2024-08-30,96.49
2024-08-29,97.53
2024-08-28,97.85
2024-08-27,97.97
2024-08-26,98.14
2024-08-23,98.39
2024-08-22,97.75
2024-08-21,98.73
2024-08-20,98.67
2024-08-19,97.89
2024-08-16,97.44
2024-08-15,97.1
2024-08-14,97.89
2024-08-13,97.28
2024-08-12,96.61
2024-08-09,96.26
2024-08-08,95.32
2024-08-07,95.91
2024-08-06,96.59
2024-08-05,98.8
2024-08-02,98.28
2024-08-01,95.31
2024-07-31,94.81
2024-07-30,93.85
2024-07-29,93.49
2024-07-26,92.99
2024-07-25,92.27
2024-07-24,91.52
2024-07-23,92.52
2024-07-22,92.65
2024-07-19,92.92
2024-07-18,93.47
2024-07-17,94.19
2024-07-16,94.17
2024-07-15,92.86
2024-07-12,93.94
2024-07-11,93.54
2024-07-10,92.64
2024-07-09,92.35
2024-07-08,92.76
2024-07-05,92.56
2024-07-03,91.8
2024-07-02,90.61
2024-07-01,89.91
2024-06-28,91.78
2024-06-27,93.52
2024-06-26,93.15
2024-06-25,94.5
2024-06-24,94.34
2024-06-21,93.96
2024-06-20,93.96
2024-06-18,94.59
2024-06-17,93.73
2024-06-14,94.67
2024-06-13,93.88
2024-06-12,92.52
2024-06-11,91.83
2024-06-10,90.89
2024-06-07,91.5
2024-06-06,93.21
2024-06-05,93.35
2024-06-04,92.67
2024-06-03,91.6
2024-05-31,90.45
2024-05-30,89.84
2024-05-29,88.98
2024-05-28,90.07
2024-05-24,91.38
2024-05-23,91.11
2024-05-22,91.7
2024-05-21,91.59
2024-05-20,91.12
2024-05-17,91.39
2024-05-16,92.01
2024-05-15,92.1
2024-05-14,90.86
2024-05-13,90.35
2024-05-10,90.12
2024-05-09,90.63
2024-05-08,90.19
2024-05-07,90.74
2024-05-06,90.19
2024-05-03,89.84
2024-05-02,88.94
2024-05-01,88.56
2024-04-30,88.22
2024-04-29,88.98
2024-04-26,88.24
2024-04-25,87.78
2024-04-24,88.4
2024-04-23,89.03
2024-04-22,89.0
2024-04-19,89.15
2024-04-18,88.83
2024-04-17,89.28
2024-04-16,88.3
2024-04-15,88.89
2024-04-12,90.29
2024-04-11,89.81
2024-04-10,90.22
2024-04-09,92.23
2024-04-08,91.38
2024-04-05,91.39
2024-04-04,92.68
2024-04-03,92.02
2024-04-02,92.04
2024-04-01,92.55
2024-03-28,94.62
2024-03-27,94.7
2024-03-26,93.77
2024-03-25,93.51
2024-03-22,93.98
2024-03-21,93.09
2024-03-20,92.89
2024-03-19,92.92
2024-03-18,92.66
2024-03-15,92.94
2024-03-14,92.97
2024-03-13,94.42
2024-03-12,94.88
2024-03-11,95.68
2024-03-08,95.73
2024-03-07,95.9
2024-03-06,95.99
2024-03-05,95.43
2024-03-04,94.09
2024-03-01,94.47
2024-02-29,94.18
2024-02-28,93.52
2024-02-27,92.93
2024-02-26,93.59
2024-02-23,93.87
2024-02-22,92.63
2024-02-21,92.18
2024-02-20,92.84
2024-02-16,92.76
2024-02-15,93.3
2024-02-14,92.82
2024-02-13,92.35
2024-02-12,93.96
2024-02-09,93.85
2024-02-08,94.04
2024-02-07,94.59
2024-02-06,95.05
2024-02-05,94.13
2024-02-02,96.07
2024-02-01,98.24
2024-01-31,96.66
2024-01-30,95.72
2024-01-29,94.86
2024-01-26,93.78
2024-01-25,93.96
2024-01-24,93.35
2024-01-23,93.9
2024-01-22,94.65
2024-01-19,94.09
2024-01-18,93.79
2024-01-17,94.67
2024-01-16,94.82
2024-01-12,96.52
2024-01-11,96.71
2024-01-10,96.17
2024-01-09,96.62
2024-01-08,97.24
2024-01-05,96.29
2024-01-04,97.22
2024-01-03,98.72
2024-01-02,98.31
