variant,window,ann_return_pctpts,ann_std_pctpts,sharpe,worst_drawdown_pctpts,n_days
baseline,full,15.72,32.87,0.478,-179.36,13422
baseline,1980s,16.13,37.12,0.435,-121.39,2609
baseline,1990s,23.91,31.82,0.752,-89.62,2610
baseline,2000s,13.01,28.1,0.463,-67.8,2609
baseline,2010s,10.48,21.91,0.479,-47.52,2608
baseline,2020s,9.37,24.19,0.387,-44.52,1107
normmom_sub,full,16.76,33.21,0.505,-169.89,13422
normmom_sub,1980s,16.51,36.62,0.451,-125.22,2609
normmom_sub,1990s,25.67,31.86,0.806,-82.85,2610
normmom_sub,2000s,13.55,28.14,0.481,-62.53,2609
normmom_sub,2010s,9.59,21.7,0.442,-46.95,2608
normmom_sub,2020s,10.96,23.6,0.465,-44.18,1107
