,baseline,handcraft,shrinkage,hrp,equal
1973-02-15,0.6551999999999952,0.34019999999999756,0.34019999999999756,0.34019999999999756,0.34019999999999756
1973-02-16,1.2983989468800403,0.6733989468800403,0.6733989468800403,0.6733989468800403,0.6733989468800403
1973-02-19,-0.003183650516853773,-0.0015918252584268865,-0.0015918252584268865,-0.0015918252584268865,-0.0015918252584268865
1973-02-20,1.1,0.58,0.58,0.58,0.58
1973-02-21,5.496726367073729,2.9,2.9,2.9,2.9
1973-02-22,2.28,1.16,1.16,1.16,1.16
1973-02-23,-3.1366464647048007,-1.596646464704801,-1.596646464704801,-1.596646464704801,-1.596646464704801
1973-02-26,-1.16,-0.6,-0.6,-0.6,-0.6
1973-02-27,-0.8732655268310849,-0.4516327634155425,-0.4516327634155425,-0.4516327634155425,-0.4516327634155425
1973-02-28,1.7967422230945584,0.9283711115472792,0.9283711115472792,0.9283711115472792,0.9283711115472792
1973-03-01,6.196650547823446,3.198325273911723,3.198325273911723,3.198325273911723,3.198325273911723
1973-03-02,-2.56,-1.32,-1.32,-1.32,-1.32
1973-03-05,3.0336000000000056,1.5642000000000027,1.5642000000000027,1.5642000000000027,1.5642000000000027
1973-03-06,0.1663999999999942,0.085799999999997,0.085799999999997,0.085799999999997,0.085799999999997
1973-03-07,0.6350155002656925,0.32667700017712836,0.32667700017712836,0.32667700017712836,0.32667700017712836
1973-03-08,-4.025020753208715,-2.1016735844029055,-2.1016735844029055,-2.1016735844029055,-2.1016735844029055
1973-03-09,1.05,0.54,0.54,0.54,0.54
1973-03-12,-3.5,-1.8016718412994668,-1.8016718412994668,-1.8016718412994668,-1.8016718412994668
1973-03-13,-0.7,-0.37,-0.37,-0.37,-0.37
1973-03-14,1.75,0.925,0.925,0.925,0.925
1973-03-15,1.3966939807911036,0.74,0.74,0.74,0.74
1973-03-16,0.3567094997638519,0.18335474988192596,0.18335474988192596,0.18335474988192596,0.18335474988192596
