variant,window,ann_return_pctpts,ann_std_pctpts,sharpe,worst_drawdown_pctpts,n_days
baseline,full,15.72,32.87,0.478,-179.36,13422
baseline,1980s,16.13,37.12,0.435,-121.39,2609
baseline,1990s,23.91,31.82,0.752,-89.62,2610
baseline,2000s,13.01,28.1,0.463,-67.8,2609
baseline,2010s,10.48,21.91,0.479,-47.52,2608
baseline,2020s,9.37,24.19,0.387,-44.52,1107
handcraft,full,11.45,23.33,0.491,-104.23,13422
handcraft,1980s,7.13,22.66,0.314,-96.21,2609
handcraft,1990s,16.83,24.23,0.695,-65.96,2610
handcraft,2000s,12.72,24.64,0.516,-51.18,2609
handcraft,2010s,13.44,21.09,0.637,-41.6,2608
handcraft,2020s,4.0,20.88,0.191,-44.42,1107
shrinkage,full,11.83,23.52,0.503,-100.8,13422
shrinkage,1980s,8.46,23.02,0.367,-92.07,2609
shrinkage,1990s,18.54,24.65,0.752,-66.02,2610
shrinkage,2000s,12.47,24.53,0.508,-53.37,2609
shrinkage,2010s,12.56,21.24,0.591,-40.72,2608
shrinkage,2020s,4.13,21.32,0.194,-46.14,1107
hrp,full,14.27,25.73,0.555,-94.9,13422
hrp,1980s,11.93,23.96,0.498,-76.31,2609
hrp,1990s,27.72,31.71,0.874,-68.23,2610
hrp,2000s,12.45,24.18,0.515,-53.29,2609
hrp,2010s,15.08,24.62,0.613,-59.66,2608
hrp,2020s,-2.0,20.14,-0.099,-52.77,1107
equal,full,12.74,23.64,0.539,-94.9,13422
equal,1980s,10.22,23.51,0.435,-83.37,2609
equal,1990s,19.87,23.92,0.831,-62.36,2610
equal,2000s,12.98,24.95,0.52,-53.08,2609
equal,2010s,14.61,22.01,0.664,-43.11,2608
equal,2020s,1.89,20.54,0.092,-49.15,1107
