,handcraft,shrinkage,hrp,equal,fw_handcraft,fw_shrinkage,fw_hrp,fw_equal
1972-12-01,1.54,1.54,1.54,1.54,0.825,0.825,0.825,0.825
1972-12-04,3.22,3.22,3.22,3.22,1.71636842147654,1.71636842147654,1.71636842147654,1.71636842147654
1972-12-05,0.27574960000405957,0.27574960000405957,0.27574960000405957,0.27574960000405957,0.20149920000811913,0.20149920000811913,0.20149920000811913,0.20149920000811913
1972-12-06,-1.5,-1.5,-1.5,-1.5,-1.6273738819715289,-1.6273738819715289,-1.6273738819715289,-1.6273738819715289
1972-12-07,0.625,0.625,0.625,0.625,0.8,0.8,0.8,0.8
1972-12-08,1.25,1.25,1.25,1.25,1.6,1.6,1.6,1.6
1972-12-11,-1.25,-1.25,-1.25,-1.25,-1.6,-1.6,-1.6,-1.6
1972-12-12,0.5,0.5,0.5,0.5,0.64,0.64,0.64,0.64
1972-12-13,-1.2515129522785848,-1.2515129522785848,-1.2515129522785848,-1.2515129522785848,-1.6,-1.6,-1.6,-1.6
1972-12-14,-0.26,-0.26,-0.26,-0.26,-0.3259875752687499,-0.3259875752687499,-0.3259875752687499,-0.3259875752687499
1972-12-15,-0.65,-0.65,-0.65,-0.65,-0.7044713363392786,-0.7044713363392786,-0.7044713363392786,-0.7044713363392786
1972-12-18,-3.121671123344749,-3.121671123344749,-3.121671123344749,-3.121671123344749,-3.0050133700342467,-3.0050133700342467,-3.0050133700342467,-3.0050133700342467
1972-12-19,0.5383437966300437,0.5383437966300437,0.5383437966300437,0.5383437966300437,0.4151569494506554,0.4151569494506554,0.4151569494506554,0.4151569494506554
1972-12-20,2.012400000000002,2.012400000000002,2.012400000000002,2.012400000000002,0.5383882194425968,0.5383882194425968,0.5383882194425968,0.5383882194425968
1972-12-21,0.5859086331729175,0.5859086331729175,0.5859086331729175,0.5859086331729175,0.11299999999999955,0.11299999999999955,0.11299999999999955,0.11299999999999955
1972-12-22,-1.25,-1.25,-1.25,-1.25,-0.2568166273361158,-0.2568166273361158,-0.2568166273361158,-0.2568166273361158
1972-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-12-26,0.25,0.25,0.25,0.25,0.09,0.09,0.09,0.09
1972-12-27,-0.06499999999999773,-0.06499999999999773,-0.06499999999999773,-0.06499999999999773,-0.023399999999999182,-0.023399999999999182,-0.023399999999999182,-0.023399999999999182
1972-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-12-29,1.125,1.125,1.125,1.125,0.405,0.405,0.405,0.405
1973-01-01,0.0,0.0,0.0,0.0,-0.004869112456912507,-0.004869112456912507,-0.004869112456912507,-0.004869112456912507
1973-01-02,-1.125,-1.125,-1.125,-1.125,-0.54,-0.54,-0.54,-0.54
1973-01-03,0.18999999999999773,0.18999999999999773,0.18999999999999773,0.18999999999999773,0.09119999999999891,0.09119999999999891,0.09119999999999891,0.09119999999999891
1973-01-04,-1.25,-1.25,-1.25,-1.25,-0.6,-0.6,-0.6,-0.6
1973-01-05,-0.75,-0.75,-0.75,-0.75,-0.3632437848813196,-0.3632437848813196,-0.3632437848813196,-0.3632437848813196
1973-01-08,-1.25,-1.25,-1.25,-1.25,-0.5065259763333031,-0.5065259763333031,-0.5065259763333031,-0.5065259763333031
1973-01-09,1.0,1.0,1.0,1.0,0.23020553975646524,0.23020553975646524,0.23020553975646524,0.23020553975646524
1973-01-10,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0
1973-01-11,-2.625,-2.625,-2.625,-2.625,0.0,0.0,0.0,0.0
1973-01-12,-0.375,-0.375,-0.375,-0.375,0.0,0.0,0.0,0.0
1973-01-15,0.0,0.0,0.0,0.0,-0.006736357177472536,-0.006736357177472536,-0.006736357177472536,-0.006736357177472536
1973-01-16,1.185000000000002,1.185000000000002,1.185000000000002,1.185000000000002,-0.19129003716067805,-0.19129003716067805,-0.19129003716067805,-0.19129003716067805
1973-01-17,-0.8100000000000023,-0.8100000000000023,-0.8100000000000023,-0.8100000000000023,0.16200000000000048,0.16200000000000048,0.16200000000000048,0.16200000000000048
1973-01-18,-0.25,-0.25,-0.25,-0.25,0.05,0.05,0.05,0.05
1973-01-19,0.375,0.375,0.375,0.375,-0.075,-0.075,-0.075,-0.075
