date,account_value
2025-01-01,0.0
2025-01-02,-694030.3632602936
2025-01-03,17851.625690691057
2025-01-06,-263668.62872739026
2025-01-07,0.0
2025-01-08,121319.2774508874
2025-01-09,54852.41968378202
2025-01-10,0.0
2025-01-13,-53281.30891683197
2025-01-14,-53219.36202266326
2025-01-15,0.0
2025-01-16,53103.687496543535
2025-01-17,0.0
2025-01-20,0.0
2025-01-21,0.0
2025-01-22,50749.46814557383
2025-01-23,252946.31872045586
2025-01-24,-50092.97255706592
2025-01-27,0.0
2025-01-28,50234.69650205761
2025-01-29,0.0
2025-01-30,50333.40849789288
2025-01-31,100872.34403117879
2025-02-03,-150603.61930617917
2025-02-04,-100189.1571286589
2025-02-05,0.0
2025-02-06,150831.38258078814
2025-02-07,-50417.45654015533
2025-02-10,0.0
2025-02-11,-50218.5511345375
2025-02-12,-100453.24504162783
2025-02-13,49743.32444585936
2025-02-14,-57.99575514198137
2025-02-17,0.0
2025-02-18,198231.7725885105
2025-02-19,-99323.01433429742
2025-02-20,-98680.83460302673
2025-02-21,49478.69249586359
2025-02-24,0.0
2025-02-25,-49350.546804058584
2025-02-26,0.0
2025-02-27,148827.2413382574
2025-02-28,149112.48250413255
2025-03-03,-295291.86648082966
2025-03-04,0.0
2025-03-05,48471.40574832095
2025-03-06,48525.97498388937
2025-03-07,-48376.85960648327
2025-03-10,-48535.39589351723
2025-03-11,-48289.02332552983
2025-03-12,-48223.820252461344
2025-03-13,-48274.426213353116
2025-03-14,0.0
2025-03-17,92396.97770344753
2025-03-18,-44226.006430076755
2025-03-19,-88441.12897023764
2025-03-20,-7.394537907224583
2025-03-21,42599.333901324455
2025-03-24,42567.023713701936
2025-03-25,84967.48615590876
2025-03-26,81557.19878207917
2025-03-27,40536.78423621207
2025-03-28,-81156.28381512055
2025-03-31,284539.62649818824
2025-04-01,-81263.68906190745
2025-04-02,-80789.73893372933
2025-04-03,80158.7907473853
2025-04-04,-162898.0335880231
2025-04-07,-82550.41471755966
2025-04-08,287943.96257904003
2025-04-09,81918.61190862331
2025-04-10,-202457.25259723733
2025-04-11,-160489.10966755828
2025-04-14,0.0
2025-04-15,119117.84725688842
2025-04-16,-198240.38062153303
2025-04-17,39584.10302422547
2025-04-18,0.0
2025-04-21,0.0
2025-04-22,-79007.36649636191
2025-04-23,-79189.17633386842
2025-04-24,37497.84387397725
2025-04-25,150210.60604944234
2025-04-28,106070.98195676971
2025-04-29,0.0
2025-04-30,178256.46414230292
2025-05-01,-71584.65827744707
2025-05-02,-107432.84504790923
2025-05-05,-107235.57963652986
2025-05-06,-35524.111523273896
2025-05-07,-71466.18521026104
2025-05-08,-35856.90453004809
2025-05-09,-35720.73156058236
2025-05-12,0.0
2025-05-13,71396.12145608167
2025-05-14,-33942.28303338413
2025-05-15,67662.970617064
2025-05-16,-32105.38505543301
2025-05-19,-31808.044067238458
2025-05-20,-63504.39674558644
2025-05-21,-31686.223239744315
2025-05-22,-7.157296369084193
2025-05-23,0.0
2025-05-26,-7.081350865451762
2025-05-27,129538.47292645914
2025-05-28,51982.77142432793
2025-05-29,0.0
2025-05-30,52039.5798175641
2025-06-02,0.0
2025-06-03,-77694.90321434913
2025-06-04,-103354.59484998819
2025-06-05,25783.06862716209
2025-06-06,0.0
2025-06-09,0.0
2025-06-10,-25937.453683118423
2025-06-11,0.0
2025-06-12,0.0
2025-06-13,0.0
2025-06-16,103138.35273316635
2025-06-17,-26072.70560190703
2025-06-18,-78253.09286033685
2025-06-19,0.0
2025-06-20,26024.23972042531
2025-06-23,0.0
2025-06-24,25708.829146466873
2025-06-25,153699.77310986017
2025-06-26,101988.78123406426
2025-06-27,-25521.36502843954
2025-06-30,152909.33688134252
2025-07-01,-27289.63831121225
2025-07-02,-117350.55607756866
2025-07-03,-164811.0167008516
2025-07-04,0.0
2025-07-07,-66181.33686300462
2025-07-08,33124.76996687523
2025-07-09,-66244.66362431915
2025-07-10,-33154.05584616518
2025-07-11,0.0
2025-07-14,67029.12042898638
2025-07-15,134539.20322894087
2025-07-16,-100588.62975933238
2025-07-17,0.0
2025-07-18,-134288.2721575649
2025-07-21,-66725.97864768683
2025-07-22,0.0
2025-07-23,0.0
2025-07-24,66622.25183211193
2025-07-25,200982.5815096044
2025-07-28,0.0
2025-07-29,0.0
2025-07-30,-136003.02228938614
2025-07-31,238546.00530102235
2025-08-01,-169453.23090826932
2025-08-04,-33877.889031092374
2025-08-05,33837.13061132416
2025-08-06,0.0
2025-08-07,33479.65181162116
2025-08-08,0.0
2025-08-11,-33512.06434316354
2025-08-12,66691.36717302895
2025-08-13,-99447.51381215658
2025-08-14,33256.965486660265
2025-08-15,66345.45932243892
2025-08-18,-66656.79158643354
2025-08-19,-33358.042994810974
