date,account_value,daily_return
2025-01-02,1000000.0,
2025-01-03,1004451.7694384244,0.004451769438424291
2025-01-06,1007411.1898135329,0.0029463041085218133
2025-01-07,998544.9884295908,-0.008800975682613954
2025-01-08,1000595.1288013742,0.0020531276963371425
2025-01-10,993554.1935696538,-0.007036747460638648
2025-01-13,990538.6457314077,-0.0030351115799851502
2025-01-14,991559.9421151112,0.0010310515274740695
2025-01-15,1007863.0478096576,0.016441876080401263
2025-01-16,1008153.3173946473,0.0002880049879996349
2025-01-17,1014009.9350088709,0.005809252931249453
2025-01-21,1024007.1299694614,0.009859070030219241
2025-01-22,1028755.4982943325,0.0046370461551501485
2025-01-23,1028416.548719842,-0.00032947534671989853
2025-01-24,1028903.452256709,0.0004734497295606488
2025-01-27,1017901.4234570088,-0.010692965190824522
2025-01-28,1025887.0221859575,0.007845159211810504
2025-01-29,1022735.8505302644,-0.003071655638043458
2025-01-30,1030068.7388376,0.007169875098769207
2025-01-31,1027183.141404897,-0.0028013639516517586
2025-02-03,1025950.9074631194,-0.0011996243825538322
2025-02-04,1034160.4659398473,0.0080019018619788
2025-02-05,1042198.496790779,0.007772518014045993
2025-02-06,1043616.6591681819,0.0013607411464993113
2025-02-07,1036793.3229853981,-0.006538163340763847
2025-02-10,1045422.1355170341,0.008322596548741013
2025-02-11,1042375.9108625639,-0.0029138704366190593
2025-02-12,1038553.3512408624,-0.0036671603611199144
2025-02-13,1051829.8734235289,0.01278366890521676
2025-02-14,1050166.251947331,-0.00158164501525615
2025-02-18,1053024.1468760679,0.0027213738048021963
2025-02-19,1054180.240458814,0.001097879460956186
2025-02-20,1053052.4989685707,-0.0010697805242037006
2025-02-21,1045925.0244124142,-0.006768394323300786
2025-02-24,1043954.59023065,-0.0018839153244957219
2025-02-25,1040243.2761833142,-0.0035550531431792765
2025-02-26,1042938.4046079899,0.0025908635858375995
2025-02-27,1025846.4354157317,-0.016388282487960093
2025-02-28,1035127.8140270731,0.00904753215580456
2025-03-03,1029162.2705043287,-0.005763098471420647
2025-03-04,1024581.2543921204,-0.004451208758326719
2025-03-05,1028884.1013657359,0.004199615164898196
2025-03-06,1015439.7201397198,-0.01306695400207869
2025-03-07,1017886.073917764,0.0024091570671547213
2025-03-10,1002277.2681077516,-0.015334531250570382
2025-03-11,1001053.4837317243,-0.0012210038229618636
2025-03-12,1004571.8219193405,0.003514635576213676
2025-03-13,1004327.0299921788,-0.00024367787531009988
2025-03-14,1013485.7873406434,0.009119297873060317
2025-03-17,1019667.945588581,0.006099896343055189
2025-03-18,1016561.3944279607,-0.0030466302035483395
2025-03-19,1024798.7001944333,0.008103107015103417
2025-03-20,1023103.3277640304,-0.0016543467805738565
2025-03-21,1019387.9922341085,-0.0036314372449962606
2025-03-24,1024600.2853257596,0.005113159200774708
2025-03-25,1027776.5412749597,0.003099995183185378
2025-03-26,1018471.2030023207,-0.009053853536193479
2025-03-27,1019530.5207054057,0.0010401056995645863
2025-03-28,1014074.769177235,-0.005351239043237199
2025-03-31,1022356.9332838042,0.008167212476146046
2025-04-01,1025617.266495314,0.003189036143216306
2025-04-02,1029255.4277849557,0.003547289430952949
2025-04-03,1004296.3217027129,-0.02424967156690827
2025-04-04,973176.12422959,-0.030987067064390805
2025-04-07,959175.283575045,-0.014386749023080125
2025-04-08,948723.1722162705,-0.010896977369785121
2025-04-09,1007342.8055912018,0.061787922011004026
2025-04-10,987457.3374698836,-0.0197405173402192
2025-04-11,1002513.3129605765,0.015247216177733947
2025-04-14,1006275.7619668971,0.0037530165013066608
2025-04-15,1008343.8849792297,0.0020552249100089792
2025-04-16,1007737.0610771833,-0.0006018025309478814
2025-04-17,1004416.5897067338,-0.00329497792499589
2025-04-21,998952.5590055999,-0.005440004433548085
2025-04-22,1007047.4965419648,0.00810342539632014
2025-04-23,1010278.9124113814,0.003208801849478471
2025-04-24,1028493.8548270874,0.018029617556036825
2025-04-25,1031189.0263963919,0.0026205033279051992
2025-04-28,1037225.0425879001,0.005853452700715467
2025-04-29,1039312.5559825357,0.0020125944794266992
2025-04-30,1034960.4496958599,-0.00418748552745174
2025-05-01,1031029.1699752249,-0.003798483045212353
2025-05-02,1035866.4481057161,0.004691698616642981
2025-05-05,1040722.9860606755,0.004688382333302155
2025-05-06,1046082.6399511952,0.005149933231326953
2025-05-07,1044251.6119062984,-0.0017503665341221941
2025-05-08,1039336.5842451758,-0.004706746539897777
2025-05-09,1041494.2848704087,0.0020760364428045186
2025-05-12,1048086.1221233848,0.00632921116201457
2025-05-13,1053819.3416850383,0.005470179826480459
2025-05-14,1047609.2354602029,-0.005892951456846096
2025-05-15,1056024.2540831086,0.008032593010893985
2025-05-16,1055720.3073718282,-0.00028782171442098825
2025-05-19,1059390.2575541567,0.003476252333787677
2025-05-20,1061566.0346202217,0.002053801279132239
2025-05-21,1051865.3635022498,-0.009138076013747276
2025-05-22,1050929.654965613,-0.0008895706324251185
2025-05-23,1054059.066597491,0.002977755568216889
2025-05-27,1063098.1945238193,0.008575542123561153
2025-05-28,1058744.7390777199,-0.004095064283360372
2025-05-29,1064325.5071618515,0.005271117652960511
2025-05-30,1061965.12388905,-0.0022177268673150285
2025-06-02,1070416.8582748775,0.007958579990721582
2025-06-03,1070626.4547022912,0.0001958082272279782
2025-06-04,1077245.142472234,0.006182070077638269
2025-06-05,1072635.5068213409,-0.004279096251308512
2025-06-06,1070385.454105721,-0.0020976862142925157
2025-06-09,1072722.356443769,0.002183234393819733
2025-06-10,1077243.872745952,0.004214992141277296
2025-06-11,1078059.6642642429,0.0007572951110978998
2025-06-12,1086536.109354555,0.007862686427561494
2025-06-13,1082135.1300748002,-0.004050467574767569
2025-06-16,1081077.6003183776,-0.000977262198621598
2025-06-17,1079454.6593226437,-0.0015012252545570925
2025-06-18,1078088.9532185753,-0.0012651815361335306
2025-06-20,1075090.14460786,-0.002781596640762052
2025-06-23,1081729.0056179152,0.006175166839127444
2025-06-24,1085364.8857827277,0.00336117469895858
2025-06-25,1087447.83008917,0.0019191189375360462
2025-06-26,1092868.0615249649,0.004984359971871299
2025-06-27,1087821.7791368177,-0.004617467163516298
2025-06-30,1096950.9228044702,0.008392131728504726
2025-07-01,1097043.7416740926,8.461533482750916e-05
2025-07-02,1100240.8690306414,0.002914311649661272
2025-07-03,1101096.7239499171,0.00077787959288389
2025-07-07,1094915.8082751383,-0.005613417550282329
2025-07-08,1091338.37280385,-0.0032673155728053516
2025-07-09,1098799.651214555,0.0068368148657096395
2025-07-10,1100024.2526381803,0.0011144901823292308
2025-07-11,1098040.0690685716,-0.0018037634759870969
2025-07-14,1097868.8166459617,-0.00015596190652233943
2025-07-15,1093960.173112929,-0.0035602099939168186
2025-07-16,1097030.0309210625,0.0028061879066381135
2025-07-17,1100133.7018743067,0.0028291576946515296
2025-07-18,1100858.4742458812,0.000658803898416771
2025-07-21,1109791.3121227124,0.008114428953231556
2025-07-22,1112909.0224903862,0.0028092762428555407
2025-07-23,1111087.6044941756,-0.0016366279357989955
2025-07-24,1109391.500428596,-0.0015265259541363818
2025-07-25,1109821.9351876474,0.00038799175844150824
2025-07-28,1106994.9147833614,-0.0025472738595745392
2025-07-29,1110840.56737309,0.003473956870417183
2025-07-30,1104197.4496847128,-0.005980262049743779
2025-07-31,1103884.9710193053,-0.0002829916565164625
2025-08-01,1102835.6150951535,-0.0009506026005434709
2025-08-04,1114402.8665348345,0.010488645162844978
2025-08-05,1112183.3758223504,-0.0019916412449525467
2025-08-06,1115566.2267151237,0.0030416305137379585
2025-08-07,1118521.0090257656,0.0026486839058783573
2025-08-08,1122074.7590360052,0.00317718664340072
2025-08-11,1116404.515657943,-0.00505335614441027
2025-08-12,1121285.9170669515,0.004372430727881627
2025-08-13,1125381.80034278,0.0036528446611927556
2025-08-14,1121334.7327315186,-0.0035961729699456324
2025-08-15,1117852.9462839598,-0.0031050375467076563
2025-08-18,1116477.7136607955,-0.001230244664770952
2025-08-19,1110864.9146983465,-0.00502723779773917
2025-08-20,1112171.9441842034,0.0011765872416735768
