,date,account_value,daily_return
125,2025-06-25,15000.000000000142,5.000000000000057
126,2025-06-26,10000.0,-0.3333333333333396
127,2025-06-27,-2500.000000000284,-1.2500000000000284
128,2025-06-30,15000.000000000142,-6.999999999999375
129,2025-07-01,-2499.999999999858,-1.1666666666666556
130,2025-07-02,-10000.0,3.0000000000002274
131,2025-07-03,-12500.000000000284,0.2500000000000284
132,2025-07-04,0.0,-1.0
133,2025-07-07,-4999.999999999858,-inf
134,2025-07-08,2500.0,-1.5000000000000142
135,2025-07-09,-5000.0,-3.0
136,2025-07-10,-2500.000000000142,-0.4999999999999716
137,2025-07-11,0.0,-1.0
138,2025-07-14,5000.000000000142,inf
139,2025-07-15,10000.0,0.9999999999999432
140,2025-07-16,-7500.0,-1.75
141,2025-07-17,0.0,-1.0
142,2025-07-18,-10000.0,-inf
143,2025-07-21,-5000.0,-0.5
144,2025-07-22,0.0,-1.0
145,2025-07-23,0.0,
146,2025-07-24,5000.0,inf
147,2025-07-25,15000.000000000142,2.0000000000000284
148,2025-07-28,0.0,-1.0
149,2025-07-29,0.0,
150,2025-07-30,-10000.000000000142,-inf
151,2025-07-31,17499.999999999858,-2.749999999999961
152,2025-08-01,-12499.999999999858,-1.714285714285712
153,2025-08-04,-2500.0,-0.7999999999999977
154,2025-08-05,2500.0,-2.0
155,2025-08-06,0.0,-1.0
156,2025-08-07,2499.999999999858,inf
157,2025-08-08,0.0,-1.0
158,2025-08-11,-2499.999999999858,-inf
159,2025-08-12,5000.000000000142,-3.00000000000017
160,2025-08-13,-7500.000000000142,-2.499999999999986
161,2025-08-14,2500.0,-1.333333333333327
162,2025-08-15,4992.504976313183,0.9970019905252732
163,2025-08-18,-5000.000000000142,-2.0015012551259375
164,2025-08-19,-2500.0,-0.5000000000000142
165,2025-08-20,0.0,-1.0
