variant,window,ann_return_pctpts,ann_std_pctpts,sharpe,worst_drawdown_pctpts,n_days
vb_d25_s50_b5,1980s,15.95,36.03,0.443,-112.69,2609
vb_d25_s50_b5,1990s,23.61,30.57,0.773,-85.3,2610
vb_d25_s50_b5,2000s,15.03,28.9,0.52,-64.76,2609
vb_d25_s50_b5,2010s,10.02,21.47,0.467,-49.31,2608
vb_d25_s50_b5,2020s,8.73,23.84,0.366,-41.29,1107
vb_d35_s0_b10,full,15.34,35.74,0.429,-220.62,13422
vb_d35_s0_b10,1980s,17.02,41.1,0.414,-150.39,2609
vb_d35_s0_b10,1990s,28.35,36.53,0.776,-101.51,2610
vb_d35_s0_b10,2000s,12.61,29.54,0.427,-72.56,2609
vb_d35_s0_b10,2010s,9.07,24.77,0.366,-55.82,2608
vb_d35_s0_b10,2020s,9.28,26.59,0.349,-47.9,1107
vb_d35_s0_b15,full,15.03,35.72,0.421,-220.37,13422
vb_d35_s0_b15,1980s,15.95,41.07,0.388,-153.97,2609
vb_d35_s0_b15,1990s,27.06,36.5,0.741,-103.51,2610
vb_d35_s0_b15,2000s,12.8,29.47,0.434,-72.06,2609
vb_d35_s0_b15,2010s,9.84,24.7,0.398,-54.43,2608
vb_d35_s0_b15,2020s,9.78,26.6,0.368,-47.57,1107
vb_d35_s0_b5,full,15.78,35.83,0.44,-222.74,13422
vb_d35_s0_b5,1980s,17.12,41.18,0.416,-152.92,2609
vb_d35_s0_b5,1990s,29.35,36.66,0.801,-99.48,2610
vb_d35_s0_b5,2000s,13.18,29.58,0.446,-74.96,2609
vb_d35_s0_b5,2010s,9.12,24.85,0.367,-56.76,2608
vb_d35_s0_b5,2020s,9.32,26.51,0.352,-46.16,1107
vb_d35_s20_b10,full,15.38,33.48,0.459,-188.48,13422
vb_d35_s20_b10,1980s,15.97,38.19,0.418,-133.33,2609
vb_d35_s20_b10,1990s,24.97,33.05,0.756,-93.07,2610
vb_d35_s20_b10,2000s,12.31,28.39,0.433,-67.59,2609
vb_d35_s20_b10,2010s,10.03,22.71,0.442,-50.14,2608
vb_d35_s20_b10,2020s,9.34,24.88,0.375,-48.92,1107
vb_d35_s20_b15,full,15.2,33.51,0.453,-189.53,13422
vb_d35_s20_b15,1980s,15.68,38.16,0.411,-131.92,2609
vb_d35_s20_b15,1990s,23.75,33.24,0.715,-94.74,2610
vb_d35_s20_b15,2000s,12.56,28.34,0.443,-67.3,2609
vb_d35_s20_b15,2010s,10.57,22.58,0.468,-48.58,2608
vb_d35_s20_b15,2020s,10.02,24.67,0.406,-46.69,1107
vb_d35_s20_b5,full,15.65,33.51,0.467,-188.56,13422
vb_d35_s20_b5,1980s,16.46,38.19,0.431,-132.18,2609
vb_d35_s20_b5,1990s,25.8,33.11,0.779,-92.94,2610
vb_d35_s20_b5,2000s,12.48,28.45,0.439,-69.68,2609
vb_d35_s20_b5,2010s,9.17,22.65,0.405,-53.62,2608
vb_d35_s20_b5,2020s,9.28,24.67,0.376,-45.38,1107
vb_d35_s30_b10,full,15.72,32.87,0.478,-179.36,13422
vb_d35_s30_b10,1980s,16.13,37.12,0.435,-121.39,2609
vb_d35_s30_b10,1990s,23.91,31.82,0.752,-89.62,2610
vb_d35_s30_b10,2000s,13.01,28.1,0.463,-67.8,2609
vb_d35_s30_b10,2010s,10.48,21.91,0.479,-47.52,2608
vb_d35_s30_b10,2020s,9.37,24.19,0.387,-44.52,1107
vb_d35_s30_b15,full,15.12,32.95,0.459,-180.35,13422
vb_d35_s30_b15,1980s,15.17,37.08,0.409,-123.59,2609
vb_d35_s30_b15,1990s,22.83,31.95,0.715,-89.02,2610
vb_d35_s30_b15,2000s,12.75,28.22,0.452,-65.75,2609
vb_d35_s30_b15,2010s,10.55,21.91,0.482,-47.11,2608
vb_d35_s30_b15,2020s,8.57,24.14,0.355,-46.63,1107
vb_d35_s30_b5,full,15.96,32.91,0.485,-179.31,13422
vb_d35_s30_b5,1980s,16.48,37.07,0.444,-121.22,2609
vb_d35_s30_b5,1990s,24.65,31.85,0.774,-89.81,2610
vb_d35_s30_b5,2000s,12.95,28.27,0.458,-65.55,2609
vb_d35_s30_b5,2010s,9.66,21.99,0.439,-50.85,2608
vb_d35_s30_b5,2020s,9.91,24.09,0.412,-42.89,1107
vb_d35_s50_b10,full,15.75,32.56,0.484,-167.03,13422
vb_d35_s50_b10,1980s,15.4,35.56,0.433,-110.3,2609
vb_d35_s50_b10,1990s,21.86,30.2,0.724,-85.75,2610
vb_d35_s50_b10,2000s,13.63,28.42,0.48,-67.91,2609
vb_d35_s50_b10,2010s,10.48,21.13,0.496,-44.87,2608
vb_d35_s50_b10,2020s,8.66,23.53,0.368,-44.38,1107
vb_d35_s50_b15,full,15.61,32.59,0.479,-169.56,13422
vb_d35_s50_b15,1980s,14.83,35.57,0.417,-113.94,2609
vb_d35_s50_b15,1990s,21.02,30.23,0.695,-87.65,2610
vb_d35_s50_b15,2000s,14.14,28.29,0.5,-61.89,2609
vb_d35_s50_b15,2010s,11.25,21.05,0.534,-43.46,2608
vb_d35_s50_b15,2020s,8.49,23.62,0.36,-44.41,1107
vb_d35_s50_b5,full,16.14,32.59,0.495,-166.23,13422
vb_d35_s50_b5,1980s,15.9,35.56,0.447,-111.53,2609
vb_d35_s50_b5,1990s,22.23,30.21,0.736,-86.02,2610
vb_d35_s50_b5,2000s,14.15,28.58,0.495,-64.9,2609
vb_d35_s50_b5,2010s,10.21,21.32,0.479,-48.06,2608
vb_d35_s50_b5,2020s,8.71,23.53,0.37,-42.82,1107
vb_d50_s0_b10,full,15.52,35.07,0.443,-204.22,13422
vb_d50_s0_b10,1980s,16.3,40.02,0.407,-145.63,2609
vb_d50_s0_b10,1990s,26.43,35.68,0.741,-100.72,2610
vb_d50_s0_b10,2000s,13.05,28.96,0.451,-74.58,2609
vb_d50_s0_b10,2010s,10.54,24.03,0.438,-53.08,2608
vb_d50_s0_b10,2020s,10.08,25.83,0.39,-50.39,1107
vb_d50_s0_b15,full,15.19,35.09,0.433,-201.7,13422
vb_d50_s0_b15,1980s,15.82,39.99,0.395,-144.43,2609
vb_d50_s0_b15,1990s,24.89,35.78,0.696,-104.54,2610
vb_d50_s0_b15,2000s,12.75,28.96,0.44,-70.19,2609
vb_d50_s0_b15,2010s,11.28,23.99,0.47,-53.21,2608
vb_d50_s0_b15,2020s,10.04,25.8,0.389,-52.48,1107
vb_d50_s0_b5,full,15.69,35.08,0.447,-202.19,13422
vb_d50_s0_b5,1980s,16.91,40.0,0.423,-142.32,2609
vb_d50_s0_b5,1990s,27.13,35.72,0.76,-100.79,2610
vb_d50_s0_b5,2000s,13.41,28.99,0.463,-73.1,2609
vb_d50_s0_b5,2010s,9.63,24.08,0.4,-53.87,2608
vb_d50_s0_b5,2020s,8.27,25.8,0.321,-49.88,1107
vb_d50_s20_b10,full,15.54,33.16,0.469,-177.52,13422
vb_d50_s20_b10,1980s,16.24,37.39,0.434,-126.41,2609
vb_d50_s20_b10,1990s,23.62,32.46,0.728,-91.26,2610
vb_d50_s20_b10,2000s,12.52,28.04,0.446,-66.64,2609
vb_d50_s20_b10,2010s,10.37,22.08,0.47,-47.77,2608
vb_d50_s20_b10,2020s,9.63,24.29,0.396,-46.71,1107
vb_d50_s20_b15,full,15.18,33.21,0.457,-180.08,13422
vb_d50_s20_b15,1980s,15.03,37.34,0.403,-124.44,2609
vb_d50_s20_b15,1990s,22.39,32.75,0.684,-93.94,2610
vb_d50_s20_b15,2000s,12.7,27.93,0.455,-65.71,2609
vb_d50_s20_b15,2010s,11.15,22.0,0.507,-48.18,2608
vb_d50_s20_b15,2020s,10.13,24.34,0.416,-48.22,1107
vb_d50_s20_b5,full,15.89,33.17,0.479,-177.33,13422
vb_d50_s20_b5,1980s,16.54,37.36,0.443,-124.84,2609
vb_d50_s20_b5,1990s,24.59,32.58,0.755,-91.95,2610
vb_d50_s20_b5,2000s,13.15,28.03,0.469,-66.37,2609
vb_d50_s20_b5,2010s,9.76,22.23,0.439,-49.03,2608
vb_d50_s20_b5,2020s,9.11,24.27,0.375,-46.84,1107
vb_d50_s30_b10,full,15.57,32.7,0.476,-171.33,13422
vb_d50_s30_b10,1980s,16.06,36.43,0.441,-120.54,2609
vb_d50_s30_b10,1990s,22.54,31.37,0.719,-89.97,2610
vb_d50_s30_b10,2000s,12.8,27.83,0.46,-64.24,2609
vb_d50_s30_b10,2010s,10.49,21.52,0.487,-46.75,2608
vb_d50_s30_b10,2020s,9.01,23.87,0.378,-45.66,1107
vb_d50_s30_b15,full,15.34,32.71,0.469,-174.95,13422
vb_d50_s30_b15,1980s,14.73,36.34,0.405,-119.11,2609
vb_d50_s30_b15,1990s,22.01,31.47,0.699,-89.58,2610
vb_d50_s30_b15,2000s,13.0,27.8,0.468,-63.84,2609
vb_d50_s30_b15,2010s,11.37,21.5,0.529,-45.56,2608
vb_d50_s30_b15,2020s,9.61,23.65,0.406,-44.41,1107
vb_d50_s30_b5,full,15.99,32.69,0.489,-169.57,13422
vb_d50_s30_b5,1980s,16.03,36.41,0.44,-119.92,2609
vb_d50_s30_b5,1990s,23.37,31.44,0.744,-88.58,2610
vb_d50_s30_b5,2000s,13.24,27.86,0.475,-64.69,2609
vb_d50_s30_b5,2010s,10.47,21.6,0.485,-47.35,2608
vb_d50_s30_b5,2020s,8.83,23.86,0.37,-44.51,1107
vb_d50_s50_b10,full,15.74,32.52,0.484,-161.88,13422
vb_d50_s50_b10,1980s,15.09,35.07,0.43,-109.35,2609
vb_d50_s50_b10,1990s,20.71,29.72,0.697,-86.62,2610
vb_d50_s50_b10,2000s,13.58,28.05,0.484,-65.68,2609
vb_d50_s50_b10,2010s,10.93,20.88,0.524,-44.52,2608
vb_d50_s50_b10,2020s,8.26,23.38,0.353,-44.13,1107
vb_d50_s50_b15,full,15.44,32.51,0.475,-164.94,13422
vb_d50_s50_b15,1980s,14.14,34.93,0.405,-109.45,2609
vb_d50_s50_b15,1990s,19.78,29.65,0.667,-87.22,2610
vb_d50_s50_b15,2000s,14.2,28.01,0.507,-60.61,2609
vb_d50_s50_b15,2010s,11.13,20.73,0.537,-42.1,2608
vb_d50_s50_b15,2020s,8.56,23.46,0.365,-45.48,1107
vb_d50_s50_b5,full,16.08,32.48,0.495,-160.58,13422
vb_d50_s50_b5,1980s,16.15,35.07,0.46,-109.12,2609
vb_d50_s50_b5,1990s,21.31,29.72,0.717,-86.29,2610
vb_d50_s50_b5,2000s,13.78,28.08,0.491,-64.73,2609
vb_d50_s50_b5,2010s,9.88,21.07,0.469,-46.1,2608
vb_d50_s50_b5,2020s,9.11,23.31,0.391,-41.19,1107
