variant,window,ann_return_pctpts,ann_std_pctpts,sharpe,worst_drawdown_pctpts,n_days
vb_d25_s0_b10,full,15.49,36.5,0.424,-241.32,13422
vb_d25_s0_b10,1980s,17.16,42.2,0.407,-158.51,2609
vb_d25_s0_b10,1990s,30.64,37.27,0.822,-100.12,2610
vb_d25_s0_b10,2000s,13.22,30.12,0.439,-73.56,2609
vb_d25_s0_b10,2010s,8.47,25.52,0.332,-61.95,2608
vb_d25_s0_b10,2020s,8.64,27.39,0.315,-48.82,1107
vb_d25_s0_b15,full,15.07,36.39,0.414,-238.14,13422
vb_d25_s0_b15,1980s,16.44,42.07,0.391,-160.33,2609
vb_d25_s0_b15,1990s,29.16,37.23,0.783,-103.12,2610
vb_d25_s0_b15,2000s,12.65,30.0,0.422,-72.69,2609
vb_d25_s0_b15,2010s,9.32,25.45,0.366,-59.47,2608
vb_d25_s0_b15,2020s,8.91,27.51,0.324,-49.52,1107
vb_d25_s0_b5,full,15.89,36.61,0.434,-241.77,13422
vb_d25_s0_b5,1980s,17.62,42.41,0.415,-160.27,2609
vb_d25_s0_b5,1990s,31.5,37.37,0.843,-97.72,2610
vb_d25_s0_b5,2000s,13.84,30.2,0.458,-72.08,2609
vb_d25_s0_b5,2010s,7.79,25.68,0.303,-63.52,2608
vb_d25_s0_b5,2020s,10.25,27.22,0.377,-42.5,1107
vb_d25_s20_b10,full,15.38,33.88,0.454,-202.89,13422
vb_d25_s20_b10,1980s,15.92,38.87,0.41,-136.65,2609
vb_d25_s20_b10,1990s,27.1,33.57,0.807,-91.64,2610
vb_d25_s20_b10,2000s,12.41,28.86,0.43,-69.1,2609
vb_d25_s20_b10,2010s,9.21,23.12,0.398,-56.93,2608
vb_d25_s20_b10,2020s,8.81,25.42,0.346,-45.52,1107
vb_d25_s20_b15,full,14.91,33.83,0.441,-200.35,13422
vb_d25_s20_b15,1980s,15.31,38.79,0.395,-134.29,2609
vb_d25_s20_b15,1990s,25.05,33.59,0.746,-94.09,2610
vb_d25_s20_b15,2000s,12.69,28.71,0.442,-68.7,2609
vb_d25_s20_b15,2010s,9.96,23.11,0.431,-53.64,2608
vb_d25_s20_b15,2020s,7.51,25.32,0.297,-48.14,1107
vb_d25_s20_b5,full,15.84,33.92,0.467,-202.2,13422
vb_d25_s20_b5,1980s,16.37,38.98,0.42,-138.06,2609
vb_d25_s20_b5,1990s,27.61,33.52,0.824,-90.5,2610
vb_d25_s20_b5,2000s,12.98,28.95,0.449,-70.97,2609
vb_d25_s20_b5,2010s,9.25,23.05,0.401,-55.67,2608
vb_d25_s20_b5,2020s,8.92,25.32,0.352,-43.9,1107
vb_d25_s30_b10,full,15.48,33.16,0.467,-189.34,13422
vb_d25_s30_b10,1980s,15.83,37.62,0.421,-125.81,2609
vb_d25_s30_b10,1990s,25.28,32.18,0.785,-89.39,2610
vb_d25_s30_b10,2000s,12.59,28.59,0.44,-68.16,2609
vb_d25_s30_b10,2010s,9.66,22.4,0.431,-52.02,2608
vb_d25_s30_b10,2020s,8.25,24.65,0.335,-45.09,1107
vb_d25_s30_b15,full,15.15,33.12,0.457,-187.87,13422
vb_d25_s30_b15,1980s,15.33,37.59,0.408,-126.01,2609
vb_d25_s30_b15,1990s,23.77,32.22,0.738,-92.87,2610
vb_d25_s30_b15,2000s,13.22,28.53,0.464,-65.76,2609
vb_d25_s30_b15,2010s,9.84,22.25,0.442,-50.23,2608
vb_d25_s30_b15,2020s,8.46,24.53,0.345,-46.91,1107
vb_d25_s30_b5,full,16.06,33.23,0.483,-188.76,13422
vb_d25_s30_b5,1980s,16.4,37.69,0.435,-127.35,2609
vb_d25_s30_b5,1990s,25.83,32.29,0.8,-88.92,2610
vb_d25_s30_b5,2000s,13.74,28.7,0.479,-66.73,2609
vb_d25_s30_b5,2010s,9.31,22.42,0.415,-52.45,2608
vb_d25_s30_b5,2020s,9.82,24.61,0.399,-42.74,1107
vb_d25_s50_b10,full,16.01,32.69,0.49,-173.87,13422
vb_d25_s50_b10,1980s,15.85,36.0,0.44,-113.74,2609
vb_d25_s50_b10,1990s,22.95,30.47,0.753,-85.85,2610
vb_d25_s50_b10,2000s,14.12,28.8,0.49,-67.95,2609
vb_d25_s50_b10,2010s,10.35,21.46,0.482,-46.64,2608
vb_d25_s50_b10,2020s,8.91,23.81,0.374,-44.88,1107
vb_d25_s50_b15,full,15.5,32.63,0.475,-173.66,13422
vb_d25_s50_b15,1980s,14.84,35.89,0.413,-113.32,2609
vb_d25_s50_b15,1990s,21.92,30.47,0.719,-86.68,2610
vb_d25_s50_b15,2000s,14.32,28.69,0.499,-64.63,2609
vb_d25_s50_b15,2010s,11.03,21.42,0.515,-45.88,2608
vb_d25_s50_b15,2020s,7.81,23.83,0.328,-45.03,1107
vb_d25_s50_b5,full,16.43,32.73,0.502,-172.39,13422
